id,query,search_id,source,description,alt,image_url
11,김밥,1511387112,wikimedia,당근이 많이 들어간 김밥,2015년 3월 8일 당근이 많이 들어간 김밥.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/2015%EB%85%84_3%EC%9B%94_8%EC%9D%BC_%EB%8B%B9%EA%B7%BC%EC%9D%B4_%EB%A7%8E%EC%9D%B4_%EB%93%A4%EC%96%B4%EA%B0%84_%EA%B9%80%EB%B0%A5.jpg/330px-2015%EB%85%84_3%EC%9B%94_8%EC%9D%BC_%EB%8B%B9%EA%B7%BC%EC%9D%B4_%EB%A7%8E%EC%9D%B4_%EB%93%A4%EC%96%B4%EA%B0%84_%EA%B9%80%EB%B0%A5.jpg
12,김밥,1511387112,wikimedia,"Bulgogi gimbap (Roll of nori seaweed and white rice, bulgogi (marinated beef) and vegetables) at Okja Restaurant, Milan, 2022","Bulgogi gimbap at Okja Restaurant, Milan, 2022 02.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Bulgogi_gimbap_at_Okja_Restaurant%2C_Milan%2C_2022_02.jpg/330px-Bulgogi_gimbap_at_Okja_Restaurant%2C_Milan%2C_2022_02.jpg
13,김밥,1511387112,wikimedia,Common Korean snack,Gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Gimbap.jpg/330px-Gimbap.jpg
14,김밥,1511387112,wikimedia,Fishcake Kimbap #koreanfood,Fishcake Kimbap -koreanfood (16827948540).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Fishcake_Kimbap_-koreanfood_%2816827948540%29.jpg/250px-Fishcake_Kimbap_-koreanfood_%2816827948540%29.jpg
15,김밥,1511387112,wikimedia,"Chamchigimbap (Rice and seaweed roll stuffed with tuna and mayonnaise, cucumber, carrots, fermented yellow turnip and salad) at Hana Restaurant, Milan, 2023","Chamchigimbap at Hana Restaurant, Milan, 2023.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Chamchigimbap_at_Hana_Restaurant%2C_Milan%2C_2023.jpg/330px-Chamchigimbap_at_Hana_Restaurant%2C_Milan%2C_2023.jpg
16,김밥,1511387112,wikimedia,Gimbap ingredients. The visual was created on the basis of free images.,Gimbap ingredients.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Gimbap_ingredients.png/250px-Gimbap_ingredients.png
17,김밥,1511387112,wikimedia,Gimbap (seaweed rice roll),Gimbap 5.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Gimbap_5.jpg/330px-Gimbap_5.jpg
18,김밥,1511387112,wikimedia,"Foggy Bottom, Washington, DC",Beef kimbap from a DC lunch counter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Beef_kimbap_from_a_DC_lunch_counter.jpg/250px-Beef_kimbap_from_a_DC_lunch_counter.jpg
19,김밥,1511387112,wikimedia,"Foggy Bottom, Washington, DC",Freshly prepared kimbap in a package with a label.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Freshly_prepared_kimbap_in_a_package_with_a_label.jpg/250px-Freshly_prepared_kimbap_in_a_package_with_a_label.jpg
20,김밥,1511387112,wikimedia,Gimbap (seaweed rice roll),Gimbap 10.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gimbap_10.jpg/120px-Gimbap_10.jpg
21,김밥,1511387112,wikimedia,Gimbap (seaweed rice roll),Gimbap 7.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Gimbap_7.jpg/250px-Gimbap_7.jpg
22,김밥,1511387112,wikimedia,"Gimpap servido junto a sopa picante y banchan de kimchi. También hay salsa y jengibre. Fotografía tomada en Seúl, Corea. Pertenece a la colección fotográfica de Tastes Explorer de Iván Schaievitch.",Gimbap como acompañamiento.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Gimbap_como_acompa%C3%B1amiento.jpg/330px-Gimbap_como_acompa%C3%B1amiento.jpg
23,김밥,1511387112,wikimedia,Gimbap (seaweed roll),Gimbap 3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Gimbap_3.jpg/330px-Gimbap_3.jpg
24,김밥,1511387112,wikimedia,"Gimbap - a popular Korean snack made from steamed white rice, similar to Japanese rolled sushi",Gimbap 1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gimbap_1.jpg/330px-Gimbap_1.jpg
25,김밥,1511387112,wikimedia,"Homemade gimbap with a high amount of meat in it, eaten as a lunch.",Gimbap with meat.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Gimbap_with_meat.png/250px-Gimbap_with_meat.png
26,김밥,1511387112,wikimedia,"A takeout box of gimbap from Gyori Gimbap, a famous establishment founded in the 1960’s in Gyeongju.",Gyori Gimbap Gyeongju.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Gyori_Gimbap_Gyeongju.jpg/330px-Gyori_Gimbap_Gyeongju.jpg
27,김밥,1511387112,wikimedia,"Gimbap - a popular Korean snack made from steamed white rice, similar to Japanese rolled sushi",Gimbap 2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Gimbap_2.jpg/330px-Gimbap_2.jpg
28,김밥,1511387112,wikimedia,Gimbap,Gimbap 4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Gimbap_4.jpg/330px-Gimbap_4.jpg
29,김밥,1511387112,wikimedia,"ベジタブルキンパ
ソナム中目黒店にて
（2024年8月19日18時35分）
 This photo was taken with iPhone 12 Pro",202408191835 IMG 1993.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/202408191835_IMG_1993.jpg/250px-202408191835_IMG_1993.jpg
30,김밥,1511387112,wikimedia,Close up of Gimbap),Gimbap closeup.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gimbap_closeup.jpg/250px-Gimbap_closeup.jpg
31,김밥,1511387112,wikimedia,Icon for Korean gimbap.,Gimbap icon.png,https://upload.wikimedia.org/wikipedia/commons/2/2b/Gimbap_icon.png
32,김밥,1511387112,wikimedia,Gimbap (seaweed rice roll),Gimbap 9.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Gimbap_9.jpg/330px-Gimbap_9.jpg
33,김밥,1511387112,wikimedia,Dongchimi-gimbap (seaweed rolls with radish water kimchi),Dongchimi-gimbap 2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Dongchimi-gimbap_2.jpg/250px-Dongchimi-gimbap_2.jpg
34,김밥,1511387112,wikimedia,"Kimbap is a Korean dish made from cooked rice and other ingredients that are rolled in gim—dried sheets of nori seaweed—and served in bite-sized slices. The dish is often part of a packed meal, or dos",Gimbap and danmuji.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Gimbap_and_danmuji.jpg/330px-Gimbap_and_danmuji.jpg
35,김밥,1511387112,wikimedia,Food.,Gimbap and danmuji 02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Gimbap_and_danmuji_02.jpg/330px-Gimbap_and_danmuji_02.jpg
36,김밥,1511387112,wikimedia,김밥,김밥.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/%EA%B9%80%EB%B0%A5.jpg/330px-%EA%B9%80%EB%B0%A5.jpg
37,김밥,1511387112,wikimedia,This photo has been taken in the country: South Korea,Gimbap 11.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Gimbap_11.jpg/330px-Gimbap_11.jpg
38,김밥,1511387112,wikimedia,Gimbap (김밥),Gimbabcheonguk-gimbap-seoul-2019-7-28.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Gimbabcheonguk-gimbap-seoul-2019-7-28.jpg/250px-Gimbabcheonguk-gimbap-seoul-2019-7-28.jpg
39,김밥,1511387112,wikimedia,"Gimbap (김밥) with fish cake from Koreana Plaza, Oakland","Gimbap by iankasley at Koreana Plaza, Oakland.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Gimbap_by_iankasley_at_Koreana_Plaza%2C_Oakland.jpg/250px-Gimbap_by_iankasley_at_Koreana_Plaza%2C_Oakland.jpg
40,김밥,1511387112,wikimedia,"taste good. More specifically, it is kito tuna kimbap.",키토 김밥.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/%ED%82%A4%ED%86%A0_%EA%B9%80%EB%B0%A5.jpg/250px-%ED%82%A4%ED%86%A0_%EA%B9%80%EB%B0%A5.jpg
41,김밥,1511387112,wikimedia,gimbal (bamboo gimbap roller),Gimbal (bamboo gimbap roller).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Gimbal_%28bamboo_gimbap_roller%29.jpg/330px-Gimbal_%28bamboo_gimbap_roller%29.jpg
42,김밥,1511387112,wikimedia,gimbal (bamboo gimbap roller),Gimbal (bamboo gimbap roller) 2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Gimbal_%28bamboo_gimbap_roller%29_2.jpg/250px-Gimbal_%28bamboo_gimbap_roller%29_2.jpg
43,김밥,1511387112,wikimedia,gimbal (bamboo gimbap roller),Gimbal (bamboo gimbap roller) 3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Gimbal_%28bamboo_gimbap_roller%29_3.jpg/330px-Gimbal_%28bamboo_gimbap_roller%29_3.jpg
44,김밥,1511387112,wikimedia,Gimbap with beef sausage,"Gimbap with beef, Myung Ga Kimbap.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Gimbap_with_beef%2C_Myung_Ga_Kimbap.jpg/250px-Gimbap_with_beef%2C_Myung_Ga_Kimbap.jpg
45,김밥,1511387112,wikimedia,キムパプ、東京にて (gimbap in Tokyo),Gimbap in Japan Sep 21 2020 11-21AM.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Gimbap_in_Japan_Sep_21_2020_11-21AM.jpeg/250px-Gimbap_in_Japan_Sep_21_2020_11-21AM.jpeg
46,김밥,1511387112,wikimedia,Gimbap with beef sausage,"Gimbap with beef sausage, Myung Ga Kimbap.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Gimbap_with_beef_sausage%2C_Myung_Ga_Kimbap.jpg/250px-Gimbap_with_beef_sausage%2C_Myung_Ga_Kimbap.jpg
47,김밥,1511387112,wikimedia,Gimbap,My gimbap at the world cup stadium in Seoul.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/My_gimbap_at_the_world_cup_stadium_in_Seoul.jpg/250px-My_gimbap_at_the_world_cup_stadium_in_Seoul.jpg
48,김밥,1511387112,wikimedia,gimbap,Vegetable gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Vegetable_gimbap.jpg/330px-Vegetable_gimbap.jpg
49,김밥,1511387112,wikimedia,본 저작물은 공공누리 제1유형에 따라 2019년 작성된 한국농수산식품유통공사 (https://www.at.or.kr/home/apko000000/index.action)의 공공저작물을 이용하였습니다.,Ingredients for Gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Ingredients_for_Gimbap.jpg/330px-Ingredients_for_Gimbap.jpg
50,김밥,1511387112,wikimedia,본 저작물은 공공누리 제1유형에 따라 2019년 작성된 한국농수산식품유통공사 (https://www.at.or.kr/home/apko000000/index.action)의 공공저작물을 이용하였습니다.,How to make Korean Gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/How_to_make_Korean_Gimbap.jpg/330px-How_to_make_Korean_Gimbap.jpg
51,김밥,1511387112,wikimedia,a string of kimbap for packing,Sinjeon cheese Gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Sinjeon_cheese_Gimbap.jpg/250px-Sinjeon_cheese_Gimbap.jpg
52,김밥,1511387112,wikimedia,"Korean famous food, Gimbap, is very soft. 한국의 음식 김밥은 부드럽습니다.",Gimbap Kimbap Korean food 01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Gimbap_Kimbap_Korean_food_01.jpg/250px-Gimbap_Kimbap_Korean_food_01.jpg
53,김밥,1511387112,wikimedia,Dongchimi-gimbap (seaweed rolls with radish water kimchi),Dongchimi-gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Dongchimi-gimbap.jpg/250px-Dongchimi-gimbap.jpg
54,김밥,1511387112,wikimedia,Homemade gimbap with a high amount of meat,Meat gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Meat_gimbap.jpg/250px-Meat_gimbap.jpg
55,김밥,1511387112,wikimedia,"Korean famous food, Gimbap, is very soft. 한국의 음식 김밥은 부드럽습니다.",Gimbap Kimbap Korean food 02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Gimbap_Kimbap_Korean_food_02.jpg/330px-Gimbap_Kimbap_Korean_food_02.jpg
56,김밥,1511387112,wikimedia,"Korean rice roll - gimbap - filled with egg, carrots, spinach and cucumbers, cut in pieces and presented on a slate plate.",Self-made vegetarian Gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Self-made_vegetarian_Gimbap.jpg/250px-Self-made_vegetarian_Gimbap.jpg
57,김밥,1511387112,wikimedia,Ramyeon (instant noodles) and nudeu-gimbap (nude seaweed rice rolls),Ramyeon and nude gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Ramyeon_and_nude_gimbap.jpg/250px-Ramyeon_and_nude_gimbap.jpg
58,김밥,1511387112,wikimedia,Mandu-ramyeon (instant noodles with dumplings) and gimbap (seaweed rice roll),Mandu-ramyeon and gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Mandu-ramyeon_and_gimbap.jpg/250px-Mandu-ramyeon_and_gimbap.jpg
59,김밥,1511387112,wikimedia,"View of Tongyeong, South Gyeongsang province, South Korea",Korea-Tongyeong food-Chungmu gimbap-01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Korea-Tongyeong_food-Chungmu_gimbap-01.jpg/330px-Korea-Tongyeong_food-Chungmu_gimbap-01.jpg
60,김밥,1511387112,wikimedia,Tao kae noi big roll grilled seaweed roll,Tao kae noi big roll grilled seaweed roll.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Tao_kae_noi_big_roll_grilled_seaweed_roll.jpg/250px-Tao_kae_noi_big_roll_grilled_seaweed_roll.jpg
61,김밥,1511387112,wikimedia,"Gim, also known as the seaweed, was first made by Korea. The Gim is used to make the Korean Gimbap.",Korean seaweed Gim.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Korean_seaweed_Gim.jpg/250px-Korean_seaweed_Gim.jpg
62,김밥,1511387112,wikimedia,"View of Tongyeong, South Gyeongsang province, South Korea",Korea-Tongyeong food-Chungmu gimbap street-01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Korea-Tongyeong_food-Chungmu_gimbap_street-01.jpg/330px-Korea-Tongyeong_food-Chungmu_gimbap_street-01.jpg
63,김밥,1511387112,wikimedia,"Gimbap at Gimgane, Haengsin Station branch.",김가네김밥 행신역점 기본 김밥 1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5_1.jpg/330px-%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5_1.jpg
64,김밥,1511387112,wikimedia,"Gimbap at Gimgane, Haengsin Station branch.",김가네김밥 행신역점 기본 김밥 2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5_2.jpg/330px-%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5_2.jpg
65,김밥,1511387112,wikimedia,"Gimbap and rabokki at Gimgane, Haengsin Station branch.","김가네김밥 행신역점 기본 김밥, 라볶이.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5%2C_%EB%9D%BC%EB%B3%B6%EC%9D%B4.jpg/330px-%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5%2C_%EB%9D%BC%EB%B3%B6%EC%9D%B4.jpg
66,김밥,1511387112,wikimedia,Chungmu-gimbap (Chungmu-style seaweed rice rolls),Chungmu-gimbap.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chungmu-gimbap.png/330px-Chungmu-gimbap.png
67,김밥,1511387112,wikimedia,"Originating from the seaside city of Chungmu, South Korea, 충무김밥 (Chungmu Gimbap) features thinner rolls with an unseasoned surface and only rice as the filler ingredient.",Chungmu Gimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Chungmu_Gimbap.jpg/330px-Chungmu_Gimbap.jpg
68,김밥,1511387112,wikimedia,"Gimbap and dongaseu at Gimgane, Haengsin Station branch.","김가네김밥 행신역점 기본 김밥, 돈까스.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5%2C_%EB%8F%88%EA%B9%8C%EC%8A%A4.jpg/330px-%EA%B9%80%EA%B0%80%EB%84%A4%EA%B9%80%EB%B0%A5_%ED%96%89%EC%8B%A0%EC%97%AD%EC%A0%90_%EA%B8%B0%EB%B3%B8_%EA%B9%80%EB%B0%A5%2C_%EB%8F%88%EA%B9%8C%EC%8A%A4.jpg
69,김밥,1511387112,wikimedia,Kimbap with garnish,Kimbap with garnish.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Kimbap_with_garnish.jpg/250px-Kimbap_with_garnish.jpg
70,김밥,1511387112,wikimedia,Gimbap,Gimbap1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Gimbap1.jpg/250px-Gimbap1.jpg
71,김밥,1511387112,wikimedia,Kimbap,Kimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Kimbap.jpg/250px-Kimbap.jpg
72,김밥,1511387112,wikimedia,Korean Kimbap,Korean Kimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Korean_Kimbap.jpg/250px-Korean_Kimbap.jpg
73,김밥,1511387112,wikimedia,Gimbap (김밥),Kimbap-boughtinbusan-sept5-2013.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Kimbap-boughtinbusan-sept5-2013.JPG/250px-Kimbap-boughtinbusan-sept5-2013.JPG
74,김밥,1511387112,wikimedia,Recept: bit.ly/kimbaprecept,Kimbap hozzávalók.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kimbap_hozz%C3%A1val%C3%B3k.jpg/250px-Kimbap_hozz%C3%A1val%C3%B3k.jpg
75,김밥,1511387112,wikimedia,Kimbap,Korean.food-Kimbap-03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Korean.food-Kimbap-03.jpg/250px-Korean.food-Kimbap-03.jpg
76,김밥,1511387112,wikimedia,Kimbap 2013-7-21,Kimbap2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kimbap2.jpg/250px-Kimbap2.jpg
77,김밥,1511387112,wikimedia,Savanyított jégcsapretek Recept: bit.ly/kimbaprecept,단무지 danmudzsi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/%EB%8B%A8%EB%AC%B4%EC%A7%80_danmudzsi.jpg/250px-%EB%8B%A8%EB%AC%B4%EC%A7%80_danmudzsi.jpg
78,김밥,1511387112,wikimedia,(설명 없음),Mayak-gimbap (31896881761).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Mayak-gimbap_%2831896881761%29.jpg/330px-Mayak-gimbap_%2831896881761%29.jpg
79,김밥,1511387112,wikimedia,seogawon 주엽역점,서가원김밥 주엽역점.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/%EC%84%9C%EA%B0%80%EC%9B%90%EA%B9%80%EB%B0%A5_%EC%A3%BC%EC%97%BD%EC%97%AD%EC%A0%90.jpg/250px-%EC%84%9C%EA%B0%80%EC%9B%90%EA%B9%80%EB%B0%A5_%EC%A3%BC%EC%97%BD%EC%97%AD%EC%A0%90.jpg
80,김밥,1511387112,wikimedia,"Korean snacks on the food stall, Kimbap",Korean.Snacks-01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Korean.Snacks-01.jpg/250px-Korean.Snacks-01.jpg
81,김밥,1511387112,wikimedia,Fishcake Kimbap,Fishcake Kimbap (16329470757).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Fishcake_Kimbap_%2816329470757%29.jpg/250px-Fishcake_Kimbap_%2816329470757%29.jpg
82,김밥,1511387112,wikimedia,Recept: bit.ly/kimbaprecept,Kimbap feltekerése.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kimbap_felteker%C3%A9se.jpg/250px-Kimbap_felteker%C3%A9se.jpg
83,김밥,1511387112,wikimedia,Recept: bit.ly/kimbaprecept,Kimbap végeredmény más szögből.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Kimbap_v%C3%A9geredm%C3%A9ny_m%C3%A1s_sz%C3%B6gb%C5%91l.jpg/250px-Kimbap_v%C3%A9geredm%C3%A9ny_m%C3%A1s_sz%C3%B6gb%C5%91l.jpg
84,김밥,1511387112,wikimedia,Recept: bit.ly/kimbaprecept,Kimbap végeredmény.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Kimbap_v%C3%A9geredm%C3%A9ny.jpg/250px-Kimbap_v%C3%A9geredm%C3%A9ny.jpg
85,김밥,1511387112,wikimedia,"Gimbap. ""Delicious sushi-resembling Korean food. One of its delicious ingredients: SPAM"".",Kimbap by strikeael.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Kimbap_by_strikeael.jpg/250px-Kimbap_by_strikeael.jpg
86,김밥,1511387112,wikimedia,Mayak-gimbap (seaweed rice rolls) and bindae-tteok (mung bean pancake),Mayak-gimbap and bindae-tteok.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Mayak-gimbap_and_bindae-tteok.jpg/250px-Mayak-gimbap_and_bindae-tteok.jpg
87,김밥,1511387112,wikimedia,Making gimbap,Making kimbap by johl.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Making_kimbap_by_johl.jpg/250px-Making_kimbap_by_johl.jpg
88,김밥,1511387112,wikimedia,Food.,Mayak gimbap food stall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Mayak_gimbap_food_stall.jpg/120px-Mayak_gimbap_food_stall.jpg
89,김밥,1511387112,wikimedia,Gimbap Lunch box and juice,Kimbap lunch by ~Mers in Daegu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Kimbap_lunch_by_~Mers_in_Daegu.jpg/250px-Kimbap_lunch_by_~Mers_in_Daegu.jpg
90,김밥,1511387112,wikimedia,Recept: bit.ly/kimbaprecept,Feltekert kimbap.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Feltekert_kimbap.jpg/250px-Feltekert_kimbap.jpg
91,김밥,1511387112,wikimedia,Gimbap and chopsticks,Kimbap and chopsticks by robinbos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Kimbap_and_chopsticks_by_robinbos.jpg/250px-Kimbap_and_chopsticks_by_robinbos.jpg
92,김밥,1511387112,wikimedia,종로 광장시장,Gwangjang Market.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Gwangjang_Market.JPG/330px-Gwangjang_Market.JPG
